CrimeDate,CrimeTime,Description,Weapon,District,Neighborhood,Total Incidents
9/14/17,1:00:00,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills,1
9/14/17,0:50:00,COMMON ASSAULT,HANDS,SOUTHWESTERN,Rognel Heights,1
9/14/17,0:49:00,LARCENY,,NORTHWESTERN,Burleith-Leighton,1
9/14/17,0:27:00,BURGLARY,,SOUTHWESTERN,Edmondson Village,1
9/14/17,0:00:00,BURGLARY,,NORTHEASTERN,Belair-Edison,1
9/14/17,0:00:00,LARCENY,,WESTERN,Hollins Market,1
9/14/17,0:00:00,BURGLARY,,NORTHERN,Cameron Village,1
9/14/17,0:00:00,AUTO THEFT,,NORTHEASTERN,Frankford,1
9/13/17,23:30:00,AUTO THEFT,,SOUTHERN,Cherry Hill,1
9/13/17,23:13:00,LARCENY,,NORTHERN,Oakenshawe,1
9/13/17,23:00:00,BURGLARY,,SOUTHWESTERN,Allendale,1
9/13/17,23:00:00,ASSAULT BY THREAT,,SOUTHERN,Cherry Hill,1
9/13/17,22:51:00,LARCENY FROM AUTO,,SOUTHEASTERN,Baltimore Highlands,1
9/13/17,22:35:00,LARCENY FROM AUTO,,SOUTHWESTERN,Violetville,1
9/13/17,22:30:00,LARCENY FROM AUTO,,SOUTHEASTERN,Canton,1
9/13/17,22:16:00,AUTO THEFT,,NORTHEASTERN,North Harford Road,1
9/13/17,22:15:00,AUTO THEFT,,NORTHERN,Parklane,1
9/13/17,22:15:00,LARCENY,,EASTERN,Middle East,1
9/13/17,22:00:00,COMMON ASSAULT,HANDS,SOUTHERN,Hollins Market,1
9/13/17,22:00:00,ROBBERY - CARJACKING,FIREARM,NORTHERN,Abell,1
